Step,Correct,Wrong
42,4,39
65,7,16
109,5,38
136,7,20
166,7,22
183,8,9
238,5,50
264,5,21
288,7,17
295,1,6
318,8,15
342,6,18
370,7,21
397,7,19
428,6,25
465,5,31
488,5,18
528,10,30
562,6,28
590,8,20
601,3,8
636,6,29
686,5,44
720,7,26
752,6,26
785,4,29
809,7,17
826,8,9
842,3,13
874,4,27
898,7,17
939,5,36
971,6,26
1015,4,39
1046,7,23
1073,9,18
1101,4,24
1127,8,18
1150,6,17
1185,5,30
1225,5,34
1260,6,28
1284,9,15
1312,6,22
1350,4,34
1390,2,38
1414,7,17
1438,3,21
1450,4,8
1454,0,4
1480,6,20
1503,9,14
1533,5,24
1560,6,21
1583,5,17
1608,8,17
1633,6,19
1653,3,17
1690,7,29
1721,8,23
1755,4,29
1779,6,18
1799,7,13
1823,9,14
1852,3,25
1857,0,5
1898,5,36
1911,2,11
1935,5,19
1958,9,14
1986,8,20
2022,6,30
2046,8,15
2061,1,14
2089,7,21
2120,4,27
2142,6,16
2169,6,21
2192,4,19
2210,5,13
2229,8,11
2266,4,33
2291,8,17
2312,6,14
2333,6,15
2360,5,22
2394,8,25
2428,6,27
2458,8,22
2473,8,7
2497,7,17
2528,6,25
2553,4,21
2581,7,21
2601,8,12
2623,8,14
2643,5,15
2677,4,30
2699,8,14
2708,2,7
2734,7,19
2760,5,21
2770,2,7
2796,6,20
2818,8,14
2834,2,14
2858,6,18
2884,6,20
2905,7,14
2934,6,23
2959,8,17
2980,9,12
3008,3,25
3037,6,23
3063,7,19
3088,5,20
3117,6,23
3139,5,17
3146,1,6
3154,3,5
3184,6,24
3206,3,19
3239,7,26
3262,8,15
3281,9,10
3310,7,22
3332,9,13
3341,3,6
3359,8,10
3393,5,29
3411,7,11
3436,8,17
3464,6,22
3494,6,24
3522,3,25
3541,2,17
3560,6,13
3586,6,20
3621,7,27
3650,7,22
3674,6,18
3698,7,17
3726,6,22
3753,6,20
3777,8,16
3801,7,17
3829,7,20
